Context,Question,Actual Answer,Generated SQL
"CREATE TABLE follows (f1 VARCHAR, f2 VARCHAR); CREATE TABLE user_profiles (uid VARCHAR, name VARCHAR)",Find the id of users who are followed by Mary or Susan.,"SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f2 WHERE T1.name = ""Mary"" OR T1.name = ""Susan""",SELECT T1.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f2 WHERE T2.name = 'Mary' OR T2.name = 'Susan'
"CREATE TABLE user_profiles (name VARCHAR, followers VARCHAR)",Find the name of the user who has the largest number of followers.,SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 1,SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 1
"CREATE TABLE user_profiles (name VARCHAR, email VARCHAR, followers VARCHAR)",Find the name and email of the user followed by the least number of people.,"SELECT name, email FROM user_profiles ORDER BY followers LIMIT 1","SELECT name, email FROM user_profiles ORDER BY followers LIMIT 1"
"CREATE TABLE user_profiles (name VARCHAR, followers VARCHAR)","List the name and number of followers for each user, and sort the results by the number of followers in descending order.","SELECT name, followers FROM user_profiles ORDER BY followers DESC","SELECT name, followers FROM user_profiles ORDER BY followers DESC"
"CREATE TABLE user_profiles (name VARCHAR, followers VARCHAR)",List the names of 5 users followed by the largest number of other users.,SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 5,SELECT name FROM user_profiles ORDER BY followers DESC LIMIT 5
"CREATE TABLE tweets (text VARCHAR, createdate VARCHAR)",List the text of all tweets in the order of date.,SELECT text FROM tweets ORDER BY createdate,SELECT text FROM tweets ORDER BY createdate
"CREATE TABLE tweets (uid VARCHAR); CREATE TABLE user_profiles (name VARCHAR, uid VARCHAR)",Find the name of each user and number of tweets tweeted by each of them.,"SELECT T1.name, COUNT(*) FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T2.uid","SELECT T1.name, COUNT(*) FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T1.uid"
"CREATE TABLE user_profiles (name VARCHAR, partitionid VARCHAR, uid VARCHAR); CREATE TABLE tweets (uid VARCHAR)",Find the name and partition id for users who tweeted less than twice.,"SELECT T1.name, T1.partitionid FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T2.uid HAVING COUNT(*) < 2","SELECT T1.name, T1.partid FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T1.uid HAVING COUNT(*)  2"
"CREATE TABLE tweets (uid VARCHAR); CREATE TABLE user_profiles (name VARCHAR, uid VARCHAR)","Find the name of the user who tweeted more than once, and number of tweets tweeted by them.","SELECT T1.name, COUNT(*) FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T2.uid HAVING COUNT(*) > 1","SELECT T1.name, COUNT(*) FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T1.uid HAVING COUNT(*) > 1"
"CREATE TABLE user_profiles (followers INTEGER, UID VARCHAR); CREATE TABLE tweets (followers INTEGER, UID VARCHAR)",Find the average number of followers for the users who do not have any tweet.,SELECT AVG(followers) FROM user_profiles WHERE NOT UID IN (SELECT UID FROM tweets),SELECT AVG(followers) FROM user_profiles WHERE NOT UID IN (SELECT UID FROM tweets)
"CREATE TABLE user_profiles (followers INTEGER, UID VARCHAR); CREATE TABLE tweets (followers INTEGER, UID VARCHAR)",Find the average number of followers for the users who had some tweets.,SELECT AVG(followers) FROM user_profiles WHERE UID IN (SELECT UID FROM tweets),SELECT AVG(followers) FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.followers = T2.followers WHERE T1.UID = T2.UID
CREATE TABLE user_profiles (followers INTEGER),Find the maximum and total number of followers of all users.,"SELECT MAX(followers), SUM(followers) FROM user_profiles","SELECT MAX(followers), SUM(followers) FROM user_profiles"
CREATE TABLE catalog_contents (catalog_entry_name VARCHAR),Find the names of all the catalog entries.,SELECT DISTINCT (catalog_entry_name) FROM catalog_contents,SELECT DISTINCT catalog_entry_name FROM catalog_contents
CREATE TABLE Attribute_Definitions (attribute_data_type VARCHAR),Find the list of attribute data types possessed by more than 3 attribute definitions.,SELECT attribute_data_type FROM Attribute_Definitions GROUP BY attribute_data_type HAVING COUNT(*) > 3,SELECT attribute_data_type FROM Attribute_Definitions GROUP BY attribute_data_type HAVING COUNT(*) > 3
"CREATE TABLE Attribute_Definitions (attribute_data_type VARCHAR, attribute_name VARCHAR)","What is the attribute data type of the attribute with name ""Green""?","SELECT attribute_data_type FROM Attribute_Definitions WHERE attribute_name = ""Green""","SELECT attribute_data_type FROM Attribute_Definitions WHERE attribute_name = ""Green"""
"CREATE TABLE Catalog_Structure (catalog_level_name VARCHAR, catalog_level_number INTEGER)",Find the name and level of catalog structure with level between 5 and 10.,"SELECT catalog_level_name, catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10","SELECT t2.catalog_level_name, t2.catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10"
CREATE TABLE catalogs (catalog_publisher VARCHAR),"Find all the catalog publishers whose name contains ""Murray""","SELECT DISTINCT (catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",SELECT DISTINCT catalog_publisher FROM catalogs WHERE label LIKE '%Murray%'
CREATE TABLE catalogs (catalog_publisher VARCHAR),Which catalog publisher has published the most catalogs?,SELECT catalog_publisher FROM catalogs GROUP BY catalog_publisher ORDER BY COUNT(*) DESC LIMIT 1,SELECT catalog_publisher FROM catalogs GROUP BY catalog_publisher ORDER BY COUNT(*) DESC LIMIT 1
"CREATE TABLE catalogs (catalog_name VARCHAR, date_of_publication VARCHAR, catalog_id VARCHAR); CREATE TABLE catalog_structure (catalog_id VARCHAR)",Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"SELECT t1.catalog_name, t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id = t2.catalog_id WHERE catalog_level_number > 5","SELECT t2.catalog_name, t2.date_of_publication FROM catalog_structure AS t1 JOIN catalogs AS t2 ON t1.catalog_id = t2.catalog_id GROUP BY t2.catalog_id HAVING COUNT(*) > 5"
"CREATE TABLE Catalog_Contents_Additional_Attributes (catalog_entry_id VARCHAR, attribute_value VARCHAR); CREATE TABLE Catalog_Contents (catalog_entry_name VARCHAR, catalog_entry_id VARCHAR); CREATE TABLE Catalog_Contents_Additional_Attributes (attribute_value VARCHAR)",What are the entry names of catalog with the attribute possessed by most entries.,SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id = t2.catalog_entry_id WHERE t2.attribute_value = (SELECT attribute_value FROM Catalog_Contents_Additional_Attributes GROUP BY attribute_value ORDER BY COUNT(*) DESC LIMIT 1),SELECT t2.catalog_entry_name FROM Catalog_Contents_Additional_Attributes AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id = t2.catalog_entry_id GROUP BY t2.catalog_entry_value ORDER BY COUNT(*) DESC LIMIT 1
"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, price_in_dollars VARCHAR)",What is the entry name of the most expensive catalog (in USD)?,SELECT catalog_entry_name FROM catalog_contents ORDER BY price_in_dollars DESC LIMIT 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY price_in_dollars DESC LIMIT 1
"CREATE TABLE catalog_structure (catalog_level_name VARCHAR, catalog_level_number VARCHAR); CREATE TABLE catalog_contents (catalog_level_number VARCHAR, price_in_dollars VARCHAR)",What is the level name of the cheapest catalog (in USD)?,SELECT t2.catalog_level_name FROM catalog_contents AS t1 JOIN catalog_structure AS t2 ON t1.catalog_level_number = t2.catalog_level_number ORDER BY t1.price_in_dollars LIMIT 1,SELECT t2.catalog_level_name FROM catalog_contents AS t1 JOIN catalog_structure AS t2 ON t1.catalog_level_number = t2.catalog_level_number ORDER BY t1.price_in_dollars LIMIT 1
CREATE TABLE catalog_contents (price_in_euros INTEGER),What are the average and minimum price (in Euro) of all products?,"SELECT AVG(price_in_euros), MIN(price_in_euros) FROM catalog_contents","SELECT AVG(price_in_euros), MIN(price_in_euros) FROM catalog_contents"
"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, height VARCHAR)",What is the product with the highest height? Give me the catalog entry name.,SELECT catalog_entry_name FROM catalog_contents ORDER BY height DESC LIMIT 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY height DESC LIMIT 1
"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, capacity VARCHAR)",Find the name of the product that has the smallest capacity.,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity LIMIT 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity LIMIT 1
"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, product_stock_number VARCHAR)","Find the names of all the products whose stock number starts with ""2"".","SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""","SELECT DISTINCT product_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%"""
"CREATE TABLE Catalog_Contents_Additional_Attributes (catalog_entry_id VARCHAR, catalog_level_number VARCHAR); CREATE TABLE Catalog_Contents (catalog_entry_name VARCHAR, catalog_entry_id VARCHAR)",Find the names of catalog entries with level number 8.,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id = t2.catalog_entry_id WHERE t2.catalog_level_number = ""8""","SELECT t2.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id = t2.catalog_entry_id WHERE t1.catalog_level_number = ""8"""
"CREATE TABLE catalog_contents (catalog_entry_name VARCHAR, LENGTH VARCHAR, width VARCHAR)",Find the names of the products with length smaller than 3 or height greater than 5.,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH < 3 OR width > 5,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  3 OR width > 5
"CREATE TABLE Catalog_Contents_Additional_Attributes (attribute_id VARCHAR, attribute_value VARCHAR); CREATE TABLE Attribute_Definitions (attribute_name VARCHAR, attribute_id VARCHAR)",Find the name and attribute ID of the attribute definitions with attribute value 0.,"SELECT t1.attribute_name, t1.attribute_id FROM Attribute_Definitions AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.attribute_id = t2.attribute_id WHERE t2.attribute_value = 0","SELECT t1.attribute_name, t1.attribute_id FROM Attribute_Definitions AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.attribute_id = t2.attribute_id WHERE t2.attribute_value = 0"
"CREATE TABLE Catalog_Contents (catalog_entry_name VARCHAR, capacity VARCHAR, price_in_dollars INTEGER)",Find the name and capacity of products with price greater than 700 (in USD).,"SELECT catalog_entry_name, capacity FROM Catalog_Contents WHERE price_in_dollars > 700","SELECT catalog_entry_name, capacity FROM Catalog_Contents WHERE price_in_dollars > 700"
